 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.818         0.818         0.819         0.001         0.001     0.3     8   1    coarse levels           
       1.706         1.712         1.723         0.005         0.003     0.7     1   6    refine                  
       3.709         3.710         3.711         0.000         0.000     1.5     6   1    load balance            
       1.046         1.159         1.289         0.087         0.075     0.5     1   6    particles               
       2.450         2.451         2.453         0.001         0.000     1.0     4   1    io                      
      69.933        69.984        70.039         0.032         0.000    29.1     6   5    poisson                 
       5.910         5.946         5.980         0.024         0.004     2.5     6   1    rho                     
       1.616         1.632         1.645         0.009         0.006     0.7     6   1    courant                 
       0.570         0.584         0.616         0.014         0.024     0.2     6   1    hydro - set unew        
     141.855       144.125       146.102         1.645         0.011    60.0     6   2    hydro - godunov         
       2.358         4.335         6.629         1.645         0.379     1.8     2   6    hydro - rev ghostzones  
       2.268         2.305         2.345         0.028         0.012     1.0     8   3    hydro - set uold        
       0.274         0.284         0.303         0.008         0.030     0.1     1   4    hydro upload fine       
       0.760         0.833         0.921         0.048         0.057     0.3     7   1    hydro - ghostzones      
       0.451         0.453         0.456         0.002         0.004     0.2     4   8    flag                    
     240.336     100.0    TOTAL
